experiment_id|username|resources|labels|slots|start_time|training_time_sec
315|determined|""""""||1|2020-11-12 20:00:39.575933+00|31.566154
316|determined|""""""||1|2020-11-12 20:01:40.420463+00|31.936249
317|determined|""""""||1|2020-11-12 20:02:36.025224+00|46.681522
318|determined|""""""||1|2020-11-12 20:05:37.488107+00|48.821435
319|determined|""""""||1|2020-11-12 20:07:03.903903+00|49.552667
320|determined|""""""||1|2020-11-12 20:11:08.848507+00|55.313794
321|determined|""""""||1|2020-11-12 20:14:55.656194+00|51.594043
322|determined|""""""||1|2020-11-12 20:17:06.721013+00|49.0083
323|determined|""""""||1|2020-11-12 20:19:03.69145+00|74.280945
324|determined|""""""||1|2020-11-12 22:05:54.910299+00|123.370312
325|determined|""""""||1|2020-11-12 22:08:24.450624+00|124.453389
326|determined|""""""||1|2020-11-12 22:10:05.634605+00|20.077522
327|determined|""""""||1|2020-11-12 22:11:42.497998+00|62.87353
328|determined|""""""||1|2020-11-12 22:29:04.400592+00|0
329|determined|""""""||1|2020-11-12 22:35:24.766365+00|171.105765
330|determined|""""""||1|2020-11-12 22:50:53.057719+00|0
331|determined|""""""||1|2020-11-12 22:54:34.05256+00|149.761473
332|determined|""""""||1|2020-11-12 23:01:54.903303+00|19.931177
333|determined|""""""||1|2020-11-12 23:02:45.950858+00|49.772749
334|determined|""""""||1|2020-11-12 23:03:43.027941+00|45.675863
335|determined|""""""||1|2020-11-12 23:06:25.28218+00|45.808586
336|determined|""""""||1|2020-11-12 23:11:58.012882+00|45.563865
337|determined|""""""||1|2020-11-12 23:13:05.072723+00|59.593245
338|determined|""""""||1|2020-11-12 23:18:18.863553+00|53.009133
339|determined|""""""||1|2020-11-12 23:20:24.050116+00|44.977949
340|determined|""""""||1|2020-11-12 23:38:09.643717+00|57.715861
341|determined|""""""||1|2020-11-12 23:46:14.937926+00|54.526677
342|determined|""""""||1|2020-11-12 23:49:51.103608+00|56.467116
343|determined|""""""||1|2020-11-12 23:57:09.707368+00|0.042226
344|determined|""""""||1|2020-11-12 23:57:28.312836+00|0.040777
345|determined|""""""||1|2020-11-12 23:57:34.412764+00|0.041016
346|determined|""""""||1|2020-11-12 23:57:35.72405+00|0.043508
347|determined|""""""||1|2020-11-12 23:57:36.82398+00|0.031359
348|determined|""""""||1|2020-11-12 23:57:38.034863+00|0.030425
349|determined|""""""||1|2020-11-13 00:00:12.498003+00|45.705613
350|determined|""""""||1|2020-11-13 00:10:40.551305+00|46.836692
351|determined|""""""||1|2020-11-13 00:11:45.381239+00|45.42347
352|determined|""""""||1|2020-11-13 00:17:27.336119+00|54.205701
353|determined|""""""||1|2020-11-13 00:19:00.045177+00|49.408906
354|determined|""""""||1|2020-11-13 00:21:38.394598+00|57.424678
355|determined|""""""||1|2020-11-13 00:23:19.182901+00|76.91534
356|determined|""""""||1|2020-11-13 00:25:25.906495+00|63.539965
357|determined|""""""||1|2020-11-13 00:25:27.561461+00|82.497933
358|determined|""""""||1|2020-11-13 00:28:04.230151+00|79.885813
359|determined|""""""||1|2020-11-13 00:31:20.033987+00|85.077792
360|determined|""""""||1|2020-11-13 00:35:00.43462+00|46.929352
361|determined|""""""||1|2020-11-13 00:35:56.234224+00|46.978324
362|determined|""""""||1|2020-11-13 00:37:27.436682+00|54.764606
363|determined|""""""||1|2020-11-13 00:42:40.670216+00|51.968719
364|determined|""""""||1|2020-11-13 00:43:43.165011+00|56.912274
365|determined|""""""||1|2020-11-13 00:46:50.225203+00|54.644603
366|determined|""""""||1|2020-11-13 00:55:29.120555+00|79.924867
367|determined|""""""||1|2020-11-13 00:56:13.488788+00|57.134801
368|determined|""""""||1|2020-11-13 00:59:06.646659+00|51.337665
369|determined|""""""||1|2020-11-13 01:03:16.737629+00|222.192176
370|determined|""""""||1|2020-11-13 20:00:08.454714+00|145.610725
371|determined|""""""||1|2020-11-13 20:03:10.999318+00|145.222354
372|determined|""""""||1|2020-11-13 20:21:25.87649+00|24.197447
373|determined|""""""||4|2020-11-13 20:21:44.020258+00|61.427905
374|determined|""""""||4|2020-11-13 21:00:34.938576+00|206.706668
375|determined|""""""||1|2020-11-13 21:08:25.121335+00|65.885222
376|determined|""""""||1|2020-11-13 21:10:07.311218+00|75.045646
377|determined|""""""||4|2020-11-13 21:15:35.312738+00|0
378|determined|""""""||4|2020-11-13 21:16:10.269021+00|936.575673
379|determined|""""""||1|2020-11-13 22:13:23.459734+00|47.579778
380|determined|""""""||1|2020-11-13 22:41:41.794325+00|216.367052
381|determined|""""""||1|2020-11-13 22:47:31.435886+00|50.450308
382|determined|""""""||1|2020-11-13 22:50:25.611509+00|48.33261
383|determined|""""""||1|2020-11-13 22:55:27.476596+00|49.120696
384|determined|""""""||1|2020-11-13 22:57:40.418224+00|53.941287
385|determined|""""""||1|2020-11-13 23:07:29.284487+00|92.359525
386|determined|""""""||1|2020-11-13 23:16:54.502472+00|77.420992
387|determined|""""""||1|2020-11-13 23:21:46.246521+00|52.4629
388|determined|""""""||1|2020-11-13 23:24:20.746169+00|80.5922
389|determined|""""""||1|2020-11-13 23:26:41.198241+00|78.42957
390|determined|""""""||1|2020-11-13 23:28:11.420009+00|61.173353
391|determined|""""""||1|2020-11-13 23:30:16.175899+00|50.777585
392|determined|""""""||1|2020-11-13 23:36:49.212417+00|48.698421
393|determined|""""""||1|2020-11-13 23:37:21.154761+00|74.707625
394|determined|""""""||1|2020-11-13 23:41:26.983933+00|64.388873
395|determined|""""""||1|2020-11-13 23:44:14.519124+00|67.376351
396|determined|""""""||1|2020-11-13 23:47:31.601143+00|61.018768
397|determined|""""""||1|2020-11-13 23:48:00.735758+00|73.01495
398|determined|""""""||1|2020-11-13 23:50:47.571687+00|44.314797
399|determined|""""""||1|2020-11-13 23:53:04.730845+00|44.105592
400|determined|""""""||1|2020-11-13 23:55:41.032249+00|65.19927
401|determined|""""""||1|2020-11-13 23:56:59.193642+00|25.725989
402|determined|""""""||1|2020-11-13 23:57:49.6701+00|70.543556
403|determined|""""""||1|2020-11-14 00:00:32.912991+00|47.884666
404|determined|""""""||1|2020-11-14 00:04:16.725641+00|76.976464
405|determined|""""""||1|2020-11-14 00:14:23.866729+00|45.711978
406|determined|""""""||1|2020-11-14 00:19:54.779003+00|51.026575
407|determined|""""""||1|2020-11-14 00:20:26.808684+00|49.777669
408|determined|""""""||1|2020-11-14 00:25:25.451712+00|45.953668
409|determined|""""""||1|2020-11-14 00:25:41.603093+00|51.726209
410|determined|""""""||1|2020-11-14 00:29:42.87698+00|52.54293
411|determined|""""""||1|2020-11-14 00:36:28.02438+00|48.511024
412|determined|""""""||1|2020-11-14 00:39:58.168075+00|101.309797
413|determined|""""""||1|2020-11-14 00:47:08.33471+00|79.73577
